[100,0,0,0;
0,100,0,0;
100,0,0,0;
100,0,0,0;
0,0,0,0;
0,100,0,0;
100,0,0,0;
0,0,0,0;
100,0,0,0;
100,0,0,0;
0,100,0,0;
0,0,100,0;
0,6,0,0;
0,0,0,0;
0,0,0,0;
72,28,0,0;
11,86,0,0;
94,0,0,0;
100,0,0,0;
0,0,0,100;
100,0,0,0;
0,0,0,0;
100,0,0,0;
0,100,0,0;
100,0,0,0;
0,100,0,0;
99,0,0,0;
0,0,0,0;
100,0,0,0;
0,100,0,0;
0,0,0,0;
0,0,0,0;
0,0,0,0;
0,100,0,0;
99,0,0,0;
97,0,0,0;
0,0,0,0;
10,0,0,0;
0,92,0,0;
0,0,0,0;
100,0,0,0;
100,0,0,0;
16,84,0,0;
0,99,0,0;
99,0,0,0;
100,0,0,0;
0,0,0,0;
0,19,0,0;
100,0,0,0;
0,0,0,0;
0,99.998581,0,0;
100,0,0,0;
100,0,0,0;
11,0,0,0;
89.745539,0,0,0;
0,100,0,0;
98,0,0,0;
98,0,0,0;
100,0,0,0;
0,100,0,0;
0,100,0,0;
100,0,0,0;
0,100,0,0;
0,100,0,0;
0,0,100,0;
100,0,0,0;
100,0,0,0;
0,0,0,0;
68.629545,31.345114,0,0;
95.6605,0,0,0;
0,100,0,0;
94.66,0,0,0;
0,99.999976,0,0;
0,100,0,0;
89,0,0,0;
0,99.942541,0,0;
12,0,0,0;
100,0,0,0;
17,76,0,0;
100,0,0,0;
100,0,0,0;
22,76,0,0;
18,82,0,0;
80,8,0,0;
25,75,0,0;
100,0,0,0;
0,0,0,0;
100,0,0,0;
0,0,0,0;
0,0,0,0;
82,18,0,0;
0,100,0,0;
100,0,0,0;
100,0,0,0;
0,98,0,0;
100,0,0,0;
100,0,0,0;]
